Project_Name,Sample_Name,Sample_ID,Extracted_DNA_ng/ul,PCR_Run_ID,DNA_plate_ID,DNA_Well_Position,"ul extracted DNA in PCR",Dilution_from_Original,PCR_Well_Position,ngDNA_PCR,Polymerase,DNA_index_ID_forward,DNA_index_ID_reverse,PCR_Notes,PCR_concentration,Sequenced?,Sequencing_Run_ID,SummedReads
LISS,BP001M,BP001M,46.9,RID001390,LISSplate2,A01,1,1,B06,46.9,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA706,,0,yes,SID2413,16420
LISS,BP001M,BP001M,46.9,RID001390,LISSplate2,A01,1,1,B06,46.9,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA706,,0,yes,SID2419,16420
LISS,BP002M,BP002M,16.9,RID001390,LISSplate2,A02,2,1,F06,33.8,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA706,,0,yes,SID2413,9250
LISS,BP002M,BP002M,16.9,RID001390,LISSplate2,A02,2,1,F06,33.8,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA706,,0,yes,SID2419,9250
LISS,BP002M,BP002M,16.9,RID001409,LISSplate2,A02,6,1,F01,101.4,"GoTaq Polymerase",EMP.v4.SB506,EMP.v4.SB708,,0,yes,SID2421,9250
LISS,BP003M,BP003M,40.5,RID001390,LISSplate2,A03,1,1,B07,40.5,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA707,,0,yes,SID2413,14647
LISS,BP003M,BP003M,40.5,RID001390,LISSplate2,A03,1,1,B07,40.5,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA707,,0,yes,SID2419,14647
LISS,BP004M,BP004M,42,RID001390,LISSplate2,A04,1,1,F07,42,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA707,,0,yes,SID2413,10073
LISS,BP004M,BP004M,42,RID001390,LISSplate2,A04,1,1,F07,42,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA707,,0,yes,SID2419,10073
LISS,BP004M,BP004M,42,RID001409,LISSplate2,A04,6,1,G01,252,"GoTaq Polymerase",EMP.v4.SB507,EMP.v4.SB708,,0,yes,SID2421,10073
LISS,BP005M,BP005M,58.5,RID001390,LISSplate2,A05,1,1,B08,58.5,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA708,,0.85,yes,SID2413,84679
LISS,BP006M,BP006M,21.9,RID001390,LISSplate2,A06,1,1,F08,21.9,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA708,,0,yes,SID2413,13329
LISS,BP006M,BP006M,21.9,RID001390,LISSplate2,A06,1,1,F08,21.9,"GoTac Polymerase",EMP.v4.SA506,EMP.v4.SA708,,0,yes,SID2419,13329
LISS,BP007M,BP007M,30.3,RID001390,LISSplate2,A07,1,1,A09,30.3,"GoTac Polymerase",EMP.v4.SA501,EMP.v4.SA709,,0,yes,SID2413,14618
LISS,BP008M,BP008M,35.4,RID001390,LISSplate2,A08,1,1,D09,35.4,"GoTac Polymerase",EMP.v4.SA504,EMP.v4.SA709,,0,yes,SID2413,19971
LISS,BP009M,BP009M,33.8,RID001390,LISSplate2,A09,1,1,G09,33.8,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA709,,0,yes,SID2413,43281
LISS,BP010M,BP010M,26.2,RID001390,LISSplate2,A10,1,1,B10,26.2,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA710,,0.03,yes,SID2413,10914
LISS,BP011M,BP011M,26.6,RID001390,LISSplate2,A11,1,1,E10,26.6,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA710,,0,yes,SID2413,9630
LISS,BP011M,BP011M,26.6,RID001390,LISSplate2,A11,1,1,E10,26.6,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA710,,0,yes,SID2419,9630
LISS,BP011M,BP011M,26.6,RID001409,LISSplate2,A11,6,1,H01,159.6,"GoTaq Polymerase",EMP.v4.SB508,EMP.v4.SB708,,0,yes,SID2421,9630
LISS,BP012M,BP012M,35.1,RID001390,LISSplate2,A12,1,1,H10,35.1,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA710,,0,yes,SID2419,11439
LISS,BP012M,BP012M,35.1,RID001390,LISSplate2,A12,1,1,H10,35.1,"GoTac Polymerase",EMP.v4.SA508,EMP.v4.SA710,,0,yes,SID2413,11439
LISS,BP013M,BP013M,29.5,RID001390,LISSplate2,B01,1,1,C06,29.5,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA706,,0,yes,SID2413,18646
LISS,BP014M,BP014M,14.5,RID001390,LISSplate2,B02,2,1,G06,29,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA706,,0,yes,SID2413,24088
LISS,BP015M,BP015M,21.4,RID001390,LISSplate2,B03,1,1,C07,21.4,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA707,,0,yes,SID2413,12841
LISS,BP015M,BP015M,21.4,RID001390,LISSplate2,B03,1,1,C07,21.4,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA707,,0,yes,SID2419,12841
LISS,BP016M,BP016M,38.3,RID001390,LISSplate2,B04,1,1,G07,38.3,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA707,,0,yes,SID2413,51538
LISS,BP017M,BP017M,36.4,RID001390,LISSplate2,B05,1,1,C08,36.4,"GoTac Polymerase",EMP.v4.SA503,EMP.v4.SA708,,0.55,yes,SID2413,100939
LISS,BP018M,BP018M,26.4,RID001390,LISSplate2,B06,1,1,G08,26.4,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA708,,0,yes,SID2413,36341
LISS,BP019M,BP019M,42.6,RID001390,LISSplate2,B07,1,1,B09,42.6,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA709,,0.05,yes,SID2413,56679
LISS,BP020M,BP020M,30.4,RID001390,LISSplate2,B08,1,1,E09,30.4,"GoTac Polymerase",EMP.v4.SA505,EMP.v4.SA709,,0,yes,SID2413,31432
LISS,GR001M,GR001M,48.1,RID001390,LISSplate1,B09,1,1,G04,48.1,"GoTac Polymerase",EMP.v4.SA507,EMP.v4.SA704,,0,yes,SID2413,39358
LISS,GR002M,GR002M,16.5,RID001390,LISSplate1,B10,2,1,B05,33,"GoTac Polymerase",EMP.v4.SA502,EMP.v4.SA705,,0.2,yes,SID2413,52882
